Pseudomonas_aeruginosa_phage_F116	AY625898
Pseudomonas_phage_D3	AF165214
Pbunalikevirus_phiVader	KT254130
Pbunalikevirus_phiMoody	KT254131
Pbunalikevirus_phiHabibi	KT254132
Pbunalikevirus_phiFenriz	KT254133
Enterobacteria_phage_phi92	FR775895
Enterobacteria_phage_K1F	AM084414
Pseudomonas_phage_PA1phi	HM624080
Vibrio_phage_KVP40	AY283928
Salmonella phage FSL SP-058	KC139517
Acinetobacter phage Petty	KF669656
Lactococcus phage phiL47	KF926093
Streptococcus phage K13	HG799496
Burkholderia phage KL1	JF939047
Clostridium phage phiZP2	JQ729992
Clostridium phage phiCP7R	JQ729990
Ralstonia phage RSS1	AB259124
Staphylococcus phage CNPH82	DQ831957
Corynebacterium phage P1201	DQ499600
Ralstonia phage RSM3	AB434711
Xylella phage Xfas53	GQ421471
Klebsiella phage KP15	GU295964
Mycobacterium phage SWU1	JF946695
Lactococcus phage 949	HM029250
Burkholderia phage KS14	HM461982
Thermus phage TMA	AP011617
Erwinia phage phiEaH2	JX316028
Propionibacterium phage PHL112N00	JX570714
Cronobacter phage CR5	JX094500